Company,Date,PercentChange,previous_1,previous_2,previous_3,previous_4,previous_5,AverageTweet,AverageComment,DJChange,DJHigh,DJLow,VolumeTraded
$CVX,2018-11-26,0.3315923977942395,-0.9590222348632342,0.7627694440526653,-2.6333440505725725,1.0834592736666544,1.3276574966755321,0.022988255257575762,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$CVX,2018-11-27,0.5761641336811085,0.3315923977942395,-0.9590222348632342,0.7627694440526653,-2.6333440505725725,1.0834592736666544,0.018445715948979598,0.03472222216666667,0.011332643521439123,24673.29,24364.13,306280000
$CVX,2018-11-28,2.7483005222266663,0.5761641336811085,0.3315923977942395,-0.9590222348632342,0.7627694440526653,-2.6333440505725725,0.02296970109183673,-0.04884234425,0.007806728992361415,24750.73,24416.03,308250000
$CVX,2018-11-29,0.7630364978083359,2.7483005222266663,0.5761641336811085,0.3315923977942395,-0.9590222348632342,0.7627694440526653,-0.0009762376097560942,0.0896135265,0.021487272498836224,25368.93,24832.84,362160000
$CVX,2018-11-30,0.7539172949095363,0.7630364978083359,2.7483005222266663,0.5761641336811085,0.3315923977942395,-0.9590222348632342,0.011034492138461537,0.04283413845,-0.00018979113111178972,25479.04,25202.79,305110000
$CSCO,2018-11-26,0.9525926251438752,0.20247503046823112,-0.1334846991604187,-0.9572495725874416,-1.294495132413208,-0.2367641250951417,0.025673412345238095,0.009126984166666668,-0.0020730264131096103,24408.8,24268.74,155940000
$CSCO,2018-11-27,1.474143361272808,0.9525926251438752,0.20247503046823112,-0.1334846991604187,-0.9572495725874416,-1.294495132413208,0.02059934206603774,0.017068611528571427,0.011332643521439123,24673.29,24364.13,306280000
$CSCO,2018-11-28,2.138232602117099,1.474143361272808,0.9525926251438752,0.20247503046823112,-0.1334846991604187,-0.9572495725874416,0.008607881676923078,0.005984383031250004,0.007806728992361415,24750.73,24416.03,308250000
$CSCO,2018-11-29,0.9381633526519141,2.138232602117099,1.474143361272808,0.9525926251438752,0.20247503046823112,-0.1334846991604187,0.024457193992537308,-0.00708825125,0.021487272498836224,25368.93,24832.84,362160000
$CSCO,2018-11-30,1.269300758008665,0.9381633526519141,2.138232602117099,1.474143361272808,0.9525926251438752,0.20247503046823112,0.02648975833928571,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$KO,2018-11-26,-0.28565475299542475,0.5538470928485577,-1.0156408788324902,-2.833527421007917,0.3975292044980216,1.0269801109549948,0.028953727584507028,-0.0010245951500000017,-0.0020730264131096103,24408.8,24268.74,155940000
$KO,2018-11-27,1.0024505995544264,-0.28565475299542475,0.5538470928485577,-1.0156408788324902,-2.833527421007917,0.3975292044980216,0.029436295819767446,-0.03165503810714286,0.011332643521439123,24673.29,24364.13,306280000
$KO,2018-11-28,1.0160536665357631,1.0024505995544264,-0.28565475299542475,0.5538470928485577,-1.0156408788324902,-2.833527421007917,0.0257666891874792,0.014357267562499998,0.007806728992361415,24750.73,24416.03,308250000
$KO,2018-11-29,-0.6087647006732074,1.0160536665357631,1.0024505995544264,-0.28565475299542475,0.5538470928485577,-1.0156408788324902,0.034777868947999994,0.08060182407142857,0.021487272498836224,25368.93,24832.84,362160000
$KO,2018-11-30,2.857145971181441,-0.6087647006732074,1.0160536665357631,1.0024505995544264,-0.28565475299542475,0.5538470928485577,0.03255185665151513,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$DIS,2018-11-26,-0.5566330197201446,-0.1425481430506064,0.4711100260416667,-1.4534830384750137,-0.5000015784954203,-0.2917672199881889,0.0,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$DIS,2018-11-27,0.2552600246187485,-0.5566330197201446,-0.1425481430506064,0.4711100260416667,-1.4534830384750137,-0.5000015784954203,0.0,0.0,0.011332643521439123,24673.29,24364.13,306280000
$DIS,2018-11-28,1.5570318264945406,0.2552600246187485,-0.5566330197201446,-0.1425481430506064,0.4711100260416667,-1.4534830384750137,0.0215117000503876,-0.010387375049423758,0.007806728992361415,24750.73,24416.03,308250000
$DIS,2018-11-29,0.7429810888566414,1.5570318264945406,0.2552600246187485,-0.5566330197201446,-0.1425481430506064,0.4711100260416667,0.02067809711643836,0.011397993823030089,0.021487272498836224,25368.93,24832.84,362160000
$DIS,2018-11-30,-1.1554249541544157,0.7429810888566414,1.5570318264945406,0.2552600246187485,-0.5566330197201446,-0.1425481430506064,0.05445714055860648,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$DWDP,2018-11-26,1.5677283467887029,0.40925184895726746,0.5648714672638379,-0.9662671376553524,-2.083685528836088,1.1621950515857788,0.011103479875000002,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$DWDP,2018-11-27,0.05249130095524288,1.5677283467887029,0.40925184895726746,0.5648714672638379,-0.9662671376553524,-2.083685528836088,-0.0010265198333333353,-0.0384615385,0.011332643521439123,24673.29,24364.13,306280000
$DWDP,2018-11-28,0.017483195928215678,0.05249130095524288,1.5677283467887029,0.40925184895726746,0.5648714672638379,-0.9662671376553524,0.012354510547619048,0.1178359685,0.007806728992361415,24750.73,24416.03,308250000
$DWDP,2018-11-29,0.509220213594911,0.017483195928215678,0.05249130095524288,1.5677283467887029,0.40925184895726746,0.5648714672638379,0.04992849135937501,0.0,0.021487272498836224,25368.93,24832.84,362160000
$DWDP,2018-11-30,1.6338726899031688,0.509220213594911,0.017483195928215678,0.05249130095524288,1.5677283467887029,0.40925184895726746,0.010617777277777775,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$XOM,2018-11-26,0.9706263298778566,-0.7363644516978587,0.16789003345681136,-1.8490142592433687,0.9686491780508754,0.7528343973630353,0.026043352073770492,-0.0033688992368421065,-0.0020730264131096103,24408.8,24268.74,155940000
$XOM,2018-11-27,0.6268817537504049,0.9706263298778566,-0.7363644516978587,0.16789003345681136,-1.8490142592433687,0.9686491780508754,0.003292770342857145,-0.0140754635,0.011332643521439123,24673.29,24364.13,306280000
$XOM,2018-11-28,1.8302128971427107,0.6268817537504049,0.9706263298778566,-0.7363644516978587,0.16789003345681136,-1.8490142592433687,0.007696590668067226,0.004029304038461539,0.007806728992361415,24750.73,24416.03,308250000
$XOM,2018-11-29,1.073889446153954,1.8302128971427107,0.6268817537504049,0.9706263298778566,-0.7363644516978587,0.16789003345681136,0.009529606076190474,0.010535529272727273,0.021487272498836224,25368.93,24832.84,362160000
$XOM,2018-11-30,1.3384360645043207,1.073889446153954,1.8302128971427107,0.6268817537504049,0.9706263298778566,-0.7363644516978587,0.013567444316406257,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$GS,2018-11-26,1.658209028251309,-1.3099496366790042,0.26550563556047,-1.9272217570459864,-1.7886342850917558,-0.3991512284179072,0.0,-0.013965201473214287,-0.0020730264131096103,24408.8,24268.74,155940000
$GS,2018-11-27,0.12926577450349366,1.658209028251309,-1.3099496366790042,0.26550563556047,-1.9272217570459864,-1.7886342850917558,0.0,0.025000000041666668,0.011332643521439123,24673.29,24364.13,306280000
$GS,2018-11-28,1.8014831818914412,0.12926577450349366,1.658209028251309,-1.3099496366790042,0.26550563556047,-1.9272217570459864,0.0,-0.027976190499999998,0.007806728992361415,24750.73,24416.03,308250000
$GS,2018-11-29,-0.5968769224793282,1.8014831818914412,0.12926577450349366,1.658209028251309,-1.3099496366790042,0.26550563556047,0.0,-0.021832455,0.021487272498836224,25368.93,24832.84,362160000
$GS,2018-11-30,0.06296642313884736,-0.5968769224793282,1.8014831818914412,0.12926577450349366,1.658209028251309,-1.3099496366790042,0.0159296802217742,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$HD,2018-11-26,-0.22326065266557693,-0.3187869933753669,-0.41176291073069854,-0.11816658684915067,-1.7656104676791469,1.7414786387922272,0.004434866133333335,0.013912645511111113,-0.0020730264131096103,24408.8,24268.74,155940000
$HD,2018-11-27,2.4303711167392548,-0.22326065266557693,-0.3187869933753669,-0.41176291073069854,-0.11816658684915067,-1.7656104676791469,0.01966320374731183,0.01622300078735632,0.011332643521439123,24673.29,24364.13,306280000
$HD,2018-11-28,2.6140702781457192,2.4303711167392548,-0.22326065266557693,-0.3187869933753669,-0.41176291073069854,-0.11816658684915067,0.013241263853383457,0.026764610570312476,0.007806728992361415,24750.73,24416.03,308250000
$HD,2018-11-29,-0.6447960237391541,2.6140702781457192,2.4303711167392548,-0.22326065266557693,-0.3187869933753669,-0.41176291073069854,0.032691164681818166,0.018379901559090923,0.021487272498836224,25368.93,24832.84,362160000
$HD,2018-11-30,2.6002886624288757,-0.6447960237391541,2.6140702781457192,2.4303711167392548,-0.22326065266557693,-0.3187869933753669,0.03499164798314607,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$IBM,2018-11-26,1.0053178883161598,-0.7621254334780608,0.8162563383135982,-1.0887002605996206,-1.0852583446778996,0.5624950852915698,0.0,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$IBM,2018-11-27,1.3938178443666638,1.0053178883161598,-0.7621254334780608,0.8162563383135982,-1.0887002605996206,-1.0852583446778996,0.0,0.0,0.011332643521439123,24673.29,24364.13,306280000
$IBM,2018-11-28,1.6444903963634627,1.3938178443666638,1.0053178883161598,-0.7621254334780608,0.8162563383135982,-1.0887002605996206,0.0,0.0,0.007806728992361415,24750.73,24416.03,308250000
$IBM,2018-11-29,-0.7840567341805342,1.6444903963634627,1.3938178443666638,1.0053178883161598,-0.7621254334780608,0.8162563383135982,0.0003359798461538433,0.005959027585365845,0.021487272498836224,25368.93,24832.84,362160000
$IBM,2018-11-30,2.1453171974298613,-0.7840567341805342,1.6444903963634627,1.3938178443666638,1.0053178883161598,-0.7621254334780608,0.017240225860360357,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$INTC,2018-11-26,0.3807918414060811,-0.3212630447494477,-1.7136880271118555,-0.021101552549545592,-1.2548870658143174,2.2189687317006133,0.0,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
$INTC,2018-11-27,2.407330850393892,0.3807918414060811,-0.3212630447494477,-1.7136880271118555,-0.021101552549545592,-1.2548870658143174,0.0,0.0,0.011332643521439123,24673.29,24364.13,306280000
$INTC,2018-11-28,1.919069691274488,2.407330850393892,0.3807918414060811,-0.3212630447494477,-1.7136880271118555,-0.021101552549545592,0.0,0.0,0.007806728992361415,24750.73,24416.03,308250000
$INTC,2018-11-29,-1.6292037289785524,1.919069691274488,2.407330850393892,0.3807918414060811,-0.3212630447494477,-1.7136880271118555,0.015171077518518525,0.008237153850340137,0.021487272498836224,25368.93,24832.84,362160000
$INTC,2018-11-30,2.8362890275545243,-1.6292037289785524,1.919069691274488,2.407330850393892,0.3807918414060811,-0.3212630447494477,0.005829739212871297,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$JNJ,2018-11-26,-0.44366541043133795,0.2678812884548898,-2.899535224137667,-0.7118664757680084,0.8877983451356316,0.8845267914525057,0.0018535968580246924,0.0237871852063492,-0.0020730264131096103,24408.8,24268.74,155940000
$JNJ,2018-11-27,1.8851773197765271,-0.44366541043133795,0.2678812884548898,-2.899535224137667,-0.7118664757680084,0.8877983451356316,0.020915756295275582,0.008858161725490196,0.011332643521439123,24673.29,24364.13,306280000
$JNJ,2018-11-28,1.8146426872867008,1.8851773197765271,-0.44366541043133795,0.2678812884548898,-2.899535224137667,-0.7118664757680084,0.018583869547297294,0.014848006828467148,0.007806728992361415,24750.73,24416.03,308250000
$JNJ,2018-11-29,0.15795288699400378,1.8146426872867008,1.8851773197765271,-0.44366541043133795,0.2678812884548898,-2.899535224137667,0.014795591659574453,0.005150693929629628,0.021487272498836224,25368.93,24832.84,362160000
$JNJ,2018-11-30,1.0733436066470117,0.15795288699400378,1.8146426872867008,1.8851773197765271,-0.44366541043133795,0.2678812884548898,0.025336159548507462,0.0,-0.00018979113111178972,25479.04,25202.79,305110000
$JPM,2018-11-26,1.4296332139581938,-0.0843136028590574,-1.2748779282866296,-1.211515618367368,0.7911993032245155,0.4933768209995518,0.0,0.0,-0.0020730264131096103,24408.8,24268.74,155940000
