Company,Date,Tweet
$HD,11/28/18,"$AMZN $DLTR $HD $TGT $WMT:

American Retailers Squeeze Chinese Suppliers as Tariffs Start to Hurt:

https://t.co/j59qcysJnQ"
$HD,11/28/18,Want automatic email alerts for $GPN $HD $BSBR $TRQ $LKQ? Subscribe to MarketBeat Daily https://t.co/nSJuDsYidj
$HD,11/28/18,price x volume leaders Tuesday - $AMZN $AAPL $NFLX $NVDA $MSFT $AMD $BABA $TSLA $FB $UTX $GOOGL $GOOG $ORCL $INTCâ€¦ https://t.co/o2ewW4EM5j
$HD,11/28/18,"$IM $HD
$IM $MY $CAB $OUT $HUBS
$IT $HUM $A $GEL $AT $A $FUR"
$HD,11/28/18,"RT @MttsTrading: MTTS DAILY WATCHLIST FOR NOVEMBER 28TH, 2018 $PRU $HD $BBYÂ $MCHP https://t.co/gjUAogvUHl"
$HD,11/28/18,ðŸ’¹ðŸ’¶ðŸ’² #BullMarket ðŸ‚ https://t.co/ossd9HUZUl ðŸ– #2019shift #StockMarketToday ðŸ» #BearMarket ðŸ» #StockMarketCrash ðŸ’°â€¦ https://t.co/gTivWPbT1b
$HD,11/28/18,"MTTS DAILY WATCHLIST FOR NOVEMBER 28TH, 2018 $PRU $HD $BBYÂ $MCHP https://t.co/gjUAogvUHl"
$HD,11/28/18,ðŸ’¹ðŸ’¶ðŸ’² #BullMarket ðŸ‚ https://t.co/VwpCj5f8Rj ðŸ– #2019shift #StockMarketToday ðŸ» #BearMarket ðŸ» #StockMarketCrash ðŸ’°â€¦ https://t.co/1pE5p033fP
$HD,11/28/18,Investors Sell Shares of Home Depot $HD on Strength $HD https://t.co/E1epW83uJL
$HD,11/28/18,"Week's Most Significant Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRâ€¦ https://t.co/kt61BoveKU"
$HD,11/28/18,Looking to add a bit of $hd to my long portfolio.   Home building sector looking like a decent swing. https://t.co/iKT0refq7B
$HD,11/28/18,"$HE $STAY $HD
$I $FLOW $FOR $A $BID
$HE $FLY $ONE $INN $TOO $LOW"
$HD,11/28/18,$HD is in White Marubozu winning 62.86% in the past. https://t.co/aiiBIWSUZm
$HD,11/28/18,RT @dgarciacharts: $HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs
$HD,11/28/18,Great call today on $ASNS. Chat members banking once again. Join our #free discord now https://t.co/GCoRyWinRw $fbâ€¦ https://t.co/WmfIBld8BM
$HD,11/28/18,"RT @cfromhertz: $HD Weekly chart 
- so far holding its top of its yearly value area $162.20 https://t.co/5s90ZgtI49"
$HD,11/28/18,Today's Unusual #Options Activity $AKS $GS $DG $HD $SONO $BMY $PCG See the full list at https://t.co/gT09fRkjbiâ€¦ https://t.co/TFCqEPVL3o
$HD,11/28/18,"$HD Weekly chart 
- so far holding its top of its yearly value area $162.20 https://t.co/5s90ZgtI49"
$HD,11/28/18,"After days of trying, I couldn't separate the tie.  However, at 1 p.m., I was successful at reducing the upward ratâ€¦ https://t.co/5xTzzL1oaN"
$HD,11/28/18,"As you can see, ETFs have tied $HD to $LOW.  They had a 1:4 upward ratio, so for every 1% $HD increased, $LOW wouldâ€¦ https://t.co/Sy8jtvpBu5"
$HD,11/28/18,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/BYZtw3y64c

$NFLX $TSLA $AAPL $HD $GS $FB $AMZN $GOOGL $NVDA"
$HD,11/28/18,RT @MarketStatisti1: Who will compromise more @ G20 meeting? $spy $dia $uco $iwm $gld $xle $xlk $xlp $xly $xlu $xlf $xlb $xli $xlv $jpm $caâ€¦
$HD,11/28/18,"In 5 yrs time, I doubt we will be thinking about how the #housing cycle was in late '18 or this quarter's margins.â€¦ https://t.co/qCv1LnbQOZ"
$HD,11/28/18,"RT @TraderAmogh: $HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.
Long @ 171.50
Stop @ 166.50 (3% riâ€¦"
$HD,11/28/18,Markets reaction to Chairman Powell's speech on Wednesday? $SPY $DIA $UCO $GLD $IWM $XLF $XLK $XLE $XLU $XLV $XLPâ€¦ https://t.co/N78xBZLNOR
$HD,11/28/18,"Wednesday: $CRM, $ADBE, $HD, $AAPL, $FB"
$HD,11/27/18,"$HD:

New Insider Filing on

Chairman, CEO &amp; President

CRAIG A MENEAR:

https://t.co/WHkqJerCD1"
$HD,11/27/18,"$HD Home Depot, Inc. (The) SEC Filing: Form 4 https://t.co/MtBBaQep1e"
$HD,11/27/18,"RT @TraderAmogh: $HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.
Long @ 171.50
Stop @ 166.50 (3% riâ€¦"
$HD,11/27/18,$GE $X $PGR $FOSL $WFC $PAA $AKS $AA $CRM $DKS $TGT $AMD $X $GILD $BP $GM $HD $NLY $BMY $SONO $DKS $JKS $GS $PSEC Uâ€¦ https://t.co/0jhgcslATM
$HD,11/27/18,Bought $HD options today for $2.21 febr 19 exp 185 this one looks good for a quick trade tons of bagholders look atâ€¦ https://t.co/U7T28laDc6
$HD,11/27/18,Sold off a little $HD at the close. Still in the hole on most of he rest. Also underwater on $HBAN. But it was a goâ€¦ https://t.co/mgZBrceI4M
$HD,11/27/18,"If you can trade #options you should sign up, itâ€™s very inexpensive #investing #trading #stocks #StockMarket $diaâ€¦ https://t.co/DOm1SWREiI"
$HD,11/27/18,"RT @gurufocus: S&amp;P 500 closes at 2,682.20 for a gain of 0.33% https://t.co/N3Q4cYLYOz  $HD https://t.co/wWdW7yJhBF"
$HD,11/27/18,"RT @VineelProTrader: $HD Bull put Credit Spread 167.5/165
14 Dec : 

Took 50% (+$540) of max profit in just 5 days. Almost 3 weeks to go foâ€¦"
$HD,11/27/18,Nueva posiciÃ³n alcista en valor del DJIA: $HD https://t.co/jibJ2eDsFm https://t.co/qIHI0SEisk
$HD,11/27/18,RT @AnthonyMaceroni: $HD (updated)... https://t.co/0j3tfAy4XV
$HD,11/27/18,"S&amp;P 500 closes at 2,682.20 for a gain of 0.33% https://t.co/N3Q4cYLYOz  $HD https://t.co/wWdW7yJhBF"
$HD,11/27/18,RT @MarketStatisti1: What effects to expect from Trump-Xi meeting on markets? $SPY $DIA $GLD $UCO $IWM $XLK $XLE $XLF $XLB $XLI $XLP $XLY $â€¦
$HD,11/27/18,"$HD Up 2.0% Today.
Home Depot
Valuation, Earnings Quality, and Dividend Safety Scores.
Stock Analysis:â€¦ https://t.co/m6vC1HniaW"
$HD,11/27/18,$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/rXBbpDHIu6
$HD,11/27/18,RT @AnthonyMaceroni: $HD (updated)... https://t.co/0j3tfAy4XV
$HD,11/27/18,RT @AnthonyMaceroni: $HD (updated)... https://t.co/0j3tfAy4XV
$HD,11/27/18,"Week's Most Significant #Insider Trades: Week of November 19, 2018 $AAL $AAPL $CHD $FL $HAS $HBI $HD $K $PSX $VTRâ€¦ https://t.co/5YNdpufxIO"
$HD,11/27/18,"RT @VineelProTrader: 1 Day Trade. 2 Swing trades.
3 Wins.

1) $SPY Calls: +$188 (38%)

2) $AMD Long:  +$198 (10%)
3) $HD CS (167.5/165): +$â€¦"
$HD,11/27/18,"Tue. Nov. 27, 2018
Top 5 stocks
Up:
$AMZN $TSLA $MA $NVDA $TWLO
$SAVE $LOXO $VRTX $MXIM $FANG
$BLMT $CBRL $NFLX $HDâ€¦ https://t.co/yOM9UYGCmg"
$HD,11/27/18,"Top #moneyflow for #sp500 today
$MSFT $CTSH $HD $MRK $AAPL $COST $MU $PG $CMCSA $GE ...
https://t.co/S59zN0R1wP"
$HD,11/27/18,"A L E R T -Home Depot ($HD) back up to $173.07. Yinz'll recall that for 34 years, if y'all bought $HD on the Thursdâ€¦ https://t.co/ROVPhrNW35"
$HD,11/27/18,"1 Day Trade. 2 Swing trades.
3 Wins.

1) $SPY Calls: +$188 (38%)

2) $AMD Long:  +$198 (10%)
3) $HD CS (167.5/165):â€¦ https://t.co/UvU2OP2X0O"
$HD,11/27/18,"$HD Bull put Credit Spread 167.5/165
14 Dec : 

Took 50% (+$540) of max profit in just 5 days. Almost 3 weeks to goâ€¦ https://t.co/nYyQpnw3uk"
$HD,11/27/18,"RT @mercadomagico: $NMGC NeoMagic's https://t.co/gzPGOV7s8h #MercadoMagico(R) Waives Fee for New #Merchants
#WelcomeHome
https://t.co/ctNK4â€¦"
$HD,11/27/18,RT @AnthonyMaceroni: $HD (updated)... https://t.co/0j3tfAy4XV
$HD,11/27/18,#estate asset watch - price x volume leaders today - $AMZN $AAPL $NFLX $NVDA $MSFT $AMD $BABA $TSLA $FB $UTX $GOOGLâ€¦ https://t.co/gWLcJIN6GR
$HD,11/27/18,RT @SunriseTrader: $HD goes ex dividend tomorrow $1.03 per share.  Some charting and trading platforms will subtract it others won't.  If tâ€¦
$HD,11/27/18,"RT @VineelProTrader: 5 Day Trades.
3 Wins, 1 Loss &amp; 1 Breakeven.
+$502 on those.

1) $HD Long:         -$180
2) $WYNN Long: +$229
3) $SPY Câ€¦"
$HD,11/27/18,"Trade Alert - Buying Calls - HD

19x leverage 

$HD"
$HD,11/27/18,$HD #woke
$HD,11/27/18,RT @MarketStatisti1: Market close on Tuesday: $SPY $DIA $GLD $UCO $IWM $XLK $XLE $XLF $XLB $XLI $XLP $XLY $XLV $XLU $JPM $BAC $XOM $CVX $CAâ€¦
$HD,11/27/18,https://t.co/2TDmbGC8eN $HD Home Depot up 1.6% = $3.2 billion gain. $HD has made notable gains in 10 of the last 21â€¦ https://t.co/XZy8bS9lE9
$HD,11/27/18,Has Home Depot Stock Bottomed Out? $LOW $WSM $XHB $HD https://t.co/hho4ZmqXEo https://t.co/x20ffSaeN9
$HD,11/27/18,$HD (updated)... https://t.co/0j3tfAy4XV
$HD,11/27/18,#estate asset watch - top price gainers today - $BKNG $AZO $CBRL $VRTX $SAVE $CMG $SAM $MELI $CHTR $ABMD $NFLX $MCKâ€¦ https://t.co/9ZINmiHlbr
$HD,11/27/18,Outside Day today: $TOUR $HD $PSA ... https://t.co/Ya1wmaeD73
$HD,11/27/18,$HD goes ex dividend tomorrow $1.03 per share.  Some charting and trading platforms will subtract it others won't.  If trading FYI (holding)
$HD,11/27/18,$HD Took off right after entry - 5 min chart shared. Couldn't have timed it more perfectly! Now lets see if it canâ€¦ https://t.co/nLQo2zuK04
$HD,11/27/18,"$HD stabilizing, dipped below $170.00 post earnings(11/13); https://t.co/t3qTvyA9Kx, didn't break, encouraging, setâ€¦ https://t.co/gMOVx730lO"
$HD,11/27/18,Sarasin &amp; Partners Llp Cut Home Depot $HD Stake; Generation Investment Management Llp Has Trimmed Its Salesforce Coâ€¦ https://t.co/BoZZg9GEQr
$HD,11/27/18,What could be better than #stocks that help expand your wealth while providing a hedge against economic uncertaintyâ€¦ https://t.co/XYvlizhkR5
$HD,11/27/18,Brookstone Capital Management Has Upped Pepsico $PEP Position; Jump Trading Cut Home Depot $Call $HD Position https://t.co/piX62H5E2J
$HD,11/27/18,RT @dgarciacharts: $HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs
$HD,11/27/18,$HD Daily / Hourly starting to push out of this base. https://t.co/2BKH2ibYUs
$HD,11/27/18,$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/0iJfeCuKgh
$HD,11/27/18,RT @ntfri: Watch $HD https://t.co/EaakdHKlIG
$HD,11/27/18,Chances are very high that i will survive lol ðŸ˜ $HD
$HD,11/27/18,"$HD New Swing today. Hard to Ignore the bullish bias in this Stock since past two days.
Long @ 171.50
Stop @ 166.50â€¦ https://t.co/R6F7mu19o6"
$HD,11/27/18,$HD's ROE of 799.70% is amongst the best returns of the industry https://t.co/YKH1M7apkL https://t.co/eckgTScRg3
$HD,11/27/18,Who will compromise more @ G20 meeting? $spy $dia $uco $iwm $gld $xle $xlk $xlp $xly $xlu $xlf $xlb $xli $xlv $jpmâ€¦ https://t.co/zaVTkT8Jlh
$HD,11/27/18,NEXT TRIPS RUNNER. Follow @vipernetworks for updates $msft $amzn $fb $goog $jnj $jpm $googol $abc $wfc $wmt $cvxâ€¦ https://t.co/EQcY23czhl
$HD,11/27/18,$HD ðŸ‘€ðŸ‘€ https://t.co/wQbfJXicQS
$HD,11/27/18,"Is $T Going to Burn These Hedge Funds?
https://t.co/vTqSKGUW3R
$HD, $CVX, $TSM, $CSCO"
$HD,11/27/18,Cam Group Holding A Has Trimmed Holding in Home Depot INC $HD as Stock Rose https://t.co/HLOaA7MpG7
$HD,11/27/18,"$HD $Bmark IPT and Guidance:
3Y +60 down to +50
10Y +110 to +95
30Y +145 to +130"
$HD,11/27/18,RT @Investingcom: If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2ï¸âƒ£ are definitely worâ€¦
$HD,11/27/18,RT @Investingcom: If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2ï¸âƒ£ are definitely worâ€¦
$HD,11/27/18,$DHI $HD $ITB - An Update On Housing Stocks - It May Get Worse Before It Gets Better https://t.co/e5WpbG7s08
$HD,11/27/18,RT @Investingcom: If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2ï¸âƒ£ are definitely worâ€¦
$HD,11/27/18,If you're looking for dividend growth stocks to build wealth and protect your portfolio then these 2ï¸âƒ£ are definiteâ€¦ https://t.co/K6JGhVDrcT
$HD,11/27/18,Some names ex-dividend tomorrow $ADI $HD(holding) $MXIM $SIX  and a few others.
